board,angle,climb_name,date,logged_grade,displayed_grade,difficulty,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,35,hi there 3,2022-06-08 20:34:39,6a,6a,16.0,1,False,1,1,False,True,
tension,35,A Little Turkey Bacon,2022-06-08 20:51:24,6b,6b,18.0886,2,False,1,2,False,True,
tension,35,Tina the Llama,2022-06-08 21:01:58,6c,6c,19.8625,6,False,1,6,False,True,
tension,35,the warmup,2022-08-15 14:36:40,5c,5c,15.0,1,False,1,1,False,True,
tension,35,fun!,2022-08-15 14:39:11,5b,5b,13.6,1,False,1,1,False,True,
tension,35,shift weight,2022-08-15 14:40:21,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Getting By...ish,2022-08-15 14:42:07,5b,5b,13.5195,1,False,1,1,False,True,
tension,35,banjo strummin,2022-08-15 14:44:43,5b,5c,14.62,1,False,1,1,False,True,
tension,35,Spanish Castle Magic,2022-08-15 14:48:44,6a+,6a+,17.0,2,False,1,2,False,True,
tension,35,Foles Gold,2022-08-15 15:31:52,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Your prerogative,2022-08-17 17:00:19,5b,5b,14.0,1,False,1,1,False,True,
tension,35,Your prerogative,2022-08-17 17:02:03,5b,5b,14.0,1,True,1,1,False,True,
tension,35,Bethany (S&N),2022-08-17 17:05:19,5c,5c,14.988,1,False,1,1,False,True,
tension,35,stink bug,2022-08-17 17:06:54,5b,5b,14.0,1,False,1,1,False,True,
tension,35,Droopy Dog,2022-08-17 17:08:41,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Funsy,2022-08-17 17:13:22,5c,5c,15.0,1,False,1,1,False,True,
tension,35,JUG,2022-08-17 17:15:48,6a,6a,16.0,1,False,1,1,False,True,
tension,35,warm up stretch,2022-09-09 00:00:00,,5b,13.8824,2,False,1,2,False,False,
tension,35,PincheyParker,2022-09-09 07:18:32,5b,5b,14.0,1,True,1,1,False,True,
tension,35,Hot Dogs,2022-09-09 07:21:24,5c,5b,13.8053,1,True,1,1,False,True,
tension,35,warm up stretch,2022-09-16 14:45:58,5b,5b,13.8824,2,False,2,4,True,True,
tension,35,warm up stretch,2022-09-16 14:47:05,5b,5b,13.8824,1,True,1,1,False,True,
tension,35,bigfun - short board edit,2022-09-16 14:49:12,6a,6a,16.0426,1,True,1,1,False,True,
tension,35,KBL #1,2022-09-16 14:53:04,5c,5c,15.0,1,True,1,1,False,True,
tension,35,Word Goes Around,2022-09-16 14:55:23,5c,5c,15.0,1,True,1,1,False,True,
